State,# Received UI Payment,# Remployed by next Quarter,,
AK,18930,12832,,
AL,37048,24700,,
AR,36764,26358,,
AZ,59228,38587,,
CA,702352,419699,,
CO,63602,35539,,
CT,99582,65127,,
DC,22712,15133,,
DE,13334,9237,,
FL,38694,22855,,
GA,73692,53896,,
HI,21191,14969,,
IA,75742,58779,,
ID,22829,19355,,
IL,266921,168799,,
IN,65936,46316,,
KS,31326,21238,,
KY,,,,
LA,40160,24750,,
MA,161202,114060,,
MD,81325,53940,,
ME,18384,13141,,
MI,203732,152887,,
MN,101763,73802,,
MO,72156,53103,,
MS,9712,6441,,
MT,,,,
NC,,,,
ND,14578,11510,,
NE,3861,2187,,
NH,11145,8274,,
NJ,244546,151633,,
NM,23593,13453,,
NV,55456,37368,,
NY,,,,
OH,154372,105429,,
OK,19706,12142,,
OR,90759,57430,,
PA,314554,225694,,
RI,26624,17839,,
SD,5872,4533,,
TN,82659,10146,,
TX,357434,237084,,
UT,31061,21344,,
VA,51094,33532,,
VT,13808,10513,,
WA,164507,119554,,
WI,106312,88507,,
WV,37491,26091,,
WY,9501,4837,,